时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),四元数0(),四元数1(),四元数2(),四元数3()
2025-06-14 20:59:38.822000,dd:f7:75:f0:61:9c, -0.228, 0.931, -0.482, 2.808, 12.451, -16.174, 118.746, 5.345, 84.732, 43.847, -37.673, 13.127, 29.27, 0.41055, 0.64639, 0.58154, 0.27444
2025-06-14 20:59:38.822000,dd:f7:75:f0:61:9c, -0.242, 1.008, -0.474, -2.686, 9.949, -14.954, 118.795, 5.746, 85.424, 43.847, -37.673, 13.127, 29.27, 0.41055, 0.64639, 0.58154, 0.27444
2025-06-14 20:59:38.822000,dd:f7:75:f0:61:9c, -0.242, 0.972, -0.43, -11.414, 8.301, -12.695, 118.729, 5.839, 85.578, 43.847, -37.673, 13.127, 29.27, 0.41055, 0.64639, 0.58154, 0.27444
2025-06-14 20:59:38.882000,dd:f7:75:f0:61:9c, -0.195, 0.908, -0.395, -16.663, 5.676, -9.46, 118.306, 6.092, 85.924, 43.847, -37.673, 13.127, 29.27, 0.41055, 0.64639, 0.58154, 0.27444
2025-06-14 20:59:38.882000,dd:f7:75:f0:61:9c, -0.218, 0.908, -0.395, -16.663, 5.676, -9.46, 118.477, 6.015, 85.831, 43.847, -37.673, 13.127, 29.27, 0.41055, 0.64639, 0.58154, 0.27444
2025-06-14 20:59:38.882000,dd:f7:75:f0:61:9c, -0.218, 0.972, -0.43, -11.414, 8.301, -12.695, 118.619, 5.933, 85.71, 43.847, -37.673, 13.127, 29.27, 0.41055, 0.64639, 0.58154, 0.27444
2025-06-14 20:59:38.911000,dd:f7:75:f0:61:9c, -0.195, 0.846, -0.38, -14.404, 6.226, -5.737, 118.147, 6.158, 86.017, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:38.911000,dd:f7:75:f0:61:9c, -0.212, 0.846, -0.38, -14.404, 6.226, -5.737, 117.999, 6.202, 86.1, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:38.911000,dd:f7:75:f0:61:9c, -0.212, 0.776, -0.359, -11.902, 6.775, -3.235, 117.867, 6.235, 86.182, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.031000,dd:f7:75:f0:61:9c, -0.222, 0.776, -0.359, -11.902, 6.775, -3.235, 117.74, 6.262, 86.259, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.031000,dd:f7:75:f0:61:9c, -0.222, 0.708, -0.356, -1.587, 4.639, -2.808, 117.669, 6.29, 86.325, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.031000,dd:f7:75:f0:61:9c, -0.229, 0.708, -0.356, -1.587, 4.639, -2.808, 117.647, 6.323, 86.38, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.062000,dd:f7:75:f0:61:9c, -0.222, 0.762, -0.393, 12.634, 0.61, -1.16, 117.916, 6.454, 86.468, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.062000,dd:f7:75:f0:61:9c, -0.222, 0.722, -0.374, 8.545, 2.502, -2.441, 117.801, 6.411, 86.457, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.062000,dd:f7:75:f0:61:9c, -0.229, 0.722, -0.374, 8.545, 2.502, -2.441, 117.724, 6.367, 86.418, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.152000,dd:f7:75:f0:61:9c, -0.236, 0.762, -0.393, 12.634, 0.61, -1.16, 118.037, 6.498, 86.479, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.152000,dd:f7:75:f0:61:9c, -0.236, 0.796, -0.412, 11.597, -0.549, 0.183, 118.141, 6.537, 86.473, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.152000,dd:f7:75:f0:61:9c, -0.259, 0.796, -0.412, 11.597, -0.549, 0.183, 118.246, 6.575, 86.473, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.182000,dd:f7:75:f0:61:9c, -0.263, 0.812, -0.433, 10.071, -2.991, 1.343, 118.328, 6.614, 86.44, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.182000,dd:f7:75:f0:61:9c, -0.263, 0.829, -0.454, 5.371, -7.629, 5.615, 118.559, 6.779, 86.182, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.182000,dd:f7:75:f0:61:9c, -0.243, 0.829, -0.454, 5.371, -7.629, 5.615, 118.597, 6.806, 86.083, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.212000,dd:f7:75:f0:61:9c, -0.245, 0.847, -0.466, 3.845, -8.362, 8.728, 118.614, 6.817, 85.963, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.213000,dd:f7:75:f0:61:9c, -0.245, 0.893, -0.477, 0.793, -7.874, 12.878, 118.641, 6.751, 85.435, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.213000,dd:f7:75:f0:61:9c, -0.239, 0.893, -0.477, 0.793, -7.874, 12.878, 118.63, 6.724, 85.292, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.241000,dd:f7:75:f0:61:9c, -0.21, 0.878, -0.426, -0.244, -8.789, 15.808, 118.46, 6.449, 84.402, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.241000,dd:f7:75:f0:61:9c, -0.222, 0.859, -0.455, -1.77, -7.69, 13.428, 118.592, 6.685, 85.155, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.241000,dd:f7:75:f0:61:9c, -0.222, 0.878, -0.426, -0.244, -8.789, 15.808, 118.488, 6.504, 84.562, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.275000,dd:f7:75:f0:61:9c, -0.183, 0.88, -0.397, -9.399, -11.536, 20.752, 118.01, 6.075, 83.48, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.275000,dd:f7:75:f0:61:9c, -0.176, 0.88, -0.397, -9.399, -11.536, 20.752, 117.883, 5.988, 83.276, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.275000,dd:f7:75:f0:61:9c, -0.183, 0.881, -0.411, -4.272, -9.827, 17.578, 118.394, 6.383, 84.227, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.303000,dd:f7:75:f0:61:9c, -0.117, 1.089, -0.579, 1.404, -21.667, 20.386, 117.751, 5.576, 81.722, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.303000,dd:f7:75:f0:61:9c, -0.169, 1.089, -0.579, 1.404, -21.667, 20.386, 117.773, 5.62, 82.013, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.303000,dd:f7:75:f0:61:9c, -0.169, 0.827, -0.374, -7.324, -13.794, 22.522, 117.779, 5.894, 83.046, 43.847, -37.673, 13.127, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.332000,dd:f7:75:f0:61:9c, 0.058, 0.886, -0.499, -0.244, -21.606, 20.264, 117.719, 5.526, 81.431, 43.800, -37.787, 12.680, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.332000,dd:f7:75:f0:61:9c, 0.062, 0.88, -0.453, 4.883, -9.033, 18.005, 118.13, 4.768, 79.047, 43.800, -37.787, 12.680, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.332000,dd:f7:75:f0:61:9c, 0.062, 0.92, -0.489, 4.517, -7.751, 16.724, 118.158, 4.642, 78.898, 43.800, -37.787, 12.680, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.363000,dd:f7:75:f0:61:9c, 0.074, 0.92, -0.489, 4.517, -7.751, 16.724, 118.185, 4.515, 78.761, 43.800, -37.787, 12.680, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.363000,dd:f7:75:f0:61:9c, 0.074, 0.899, -0.499, 2.869, -5.92, 15.747, 118.207, 4.389, 78.635, 43.800, -37.787, 12.680, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.363000,dd:f7:75:f0:61:9c, 0.077, 0.899, -0.499, 2.869, -5.92, 15.747, 118.224, 4.257, 78.519, 43.800, -37.787, 12.680, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.392000,dd:f7:75:f0:61:9c, 0.077, 0.896, -0.503, 5.371, -5.188, 14.343, 118.251, 4.125, 78.409, 43.800, -37.787, 12.680, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.392000,dd:f7:75:f0:61:9c, 0.08, 0.896, -0.503, 5.371, -5.188, 14.343, 118.295, 3.999, 78.305, 43.800, -37.787, 12.680, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.392000,dd:f7:75:f0:61:9c, 0.08, 0.916, -0.502, 2.93, -4.578, 12.573, 118.328, 3.878, 78.212, 43.800, -37.787, 12.680, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.421000,dd:f7:75:f0:61:9c, 0.066, 0.916, -0.502, 2.93, -4.578, 12.573, 118.35, 3.763, 78.124, 43.800, -37.787, 12.680, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.421000,dd:f7:75:f0:61:9c, 0.066, 0.909, -0.492, 1.343, -4.456, 9.827, 118.361, 3.658, 78.041, 43.800, -37.787, 12.680, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.421000,dd:f7:75:f0:61:9c, 0.054, 0.909, -0.492, 1.343, -4.456, 9.827, 118.372, 3.56, 77.964, 43.800, -37.787, 12.680, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.482000,dd:f7:75:f0:61:9c, 0.062, 0.918, -0.498, -2.441, -5.371, 6.592, 118.328, 3.417, 77.822, 43.800, -37.787, 12.680, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.482000,dd:f7:75:f0:61:9c, 0.062, 0.879, -0.483, -5.615, -5.432, 4.883, 118.284, 3.362, 77.761, 43.800, -37.787, 12.680, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.482000,dd:f7:75:f0:61:9c, 0.054, 0.918, -0.498, -2.441, -5.371, 6.592, 118.361, 3.483, 77.893, 43.800, -37.787, 12.680, 29.27, 0.40472, 0.61014, 0.60394, 0.3147
2025-06-14 20:59:39.512000,dd:f7:75:f0:61:9c, 0.054, 0.879, -0.483, -5.615, -5.432, 4.883, 118.224, 3.312, 77.695, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.512000,dd:f7:75:f0:61:9c, 0.054, 0.838, -0.461, -6.653, -4.15, 4.272, 118.163, 3.263, 77.64, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.512000,dd:f7:75:f0:61:9c, 0.039, 0.838, -0.461, -6.653, -4.15, 4.272, 118.092, 3.208, 77.596, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.542000,dd:f7:75:f0:61:9c, 0.039, 0.794, -0.446, -4.395, -4.822, 2.93, 118.037, 3.164, 77.547, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.542000,dd:f7:75:f0:61:9c, 0.028, 0.794, -0.446, -4.395, -4.822, 2.93, 117.993, 3.131, 77.498, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.542000,dd:f7:75:f0:61:9c, 0.028, 0.788, -0.448, -1.709, -5.859, 2.258, 117.966, 3.098, 77.448, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.573000,dd:f7:75:f0:61:9c, 0.038, 0.802, -0.458, 0.61, -6.287, 2.686, 117.944, 3.049, 77.333, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.573000,dd:f7:75:f0:61:9c, 0.038, 0.788, -0.448, -1.709, -5.859, 2.258, 117.949, 3.076, 77.393, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.573000,dd:f7:75:f0:61:9c, 0.04, 0.802, -0.458, 0.61, -6.287, 2.686, 117.955, 3.021, 77.272, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.602000,dd:f7:75:f0:61:9c, 0.04, 0.827, -0.47, 0.854, -5.371, 4.211, 117.966, 2.988, 77.217, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.602000,dd:f7:75:f0:61:9c, 0.038, 0.827, -0.47, 0.854, -5.371, 4.211, 117.977, 2.944, 77.157, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.602000,dd:f7:75:f0:61:9c, 0.038, 0.829, -0.475, -0.977, -5.371, 5.92, 117.977, 2.895, 77.091, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.632000,dd:f7:75:f0:61:9c, 0.045, 0.845, -0.488, -3.052, -6.958, 5.981, 117.905, 2.609, 76.718, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.632000,dd:f7:75:f0:61:9c, 0.045, 0.851, -0.489, -3.479, -7.202, 6.287, 117.878, 2.565, 76.63, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.632000,dd:f7:75:f0:61:9c, 0.021, 0.829, -0.475, -0.977, -5.371, 5.92, 117.971, 2.834, 77.02, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.662000,dd:f7:75:f0:61:9c, 0.06, 0.852, -0.489, -4.517, -5.92, 6.897, 117.812, 2.455, 76.454, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.662000,dd:f7:75:f0:61:9c, 0.058, 0.852, -0.489, -4.517, -5.92, 6.897, 117.779, 2.395, 76.371, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.662000,dd:f7:75:f0:61:9c, 0.06, 0.851, -0.489, -3.479, -7.202, 6.287, 117.85, 2.516, 76.536, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.752000,dd:f7:75:f0:61:9c, 0.058, 0.822, -0.474, -4.395, -4.7, 6.958, 117.74, 2.329, 76.295, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.753000,dd:f7:75:f0:61:9c, 0.06, 0.822, -0.474, -4.395, -4.7, 6.958, 117.702, 2.263, 76.223, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.753000,dd:f7:75:f0:61:9c, 0.06, 0.825, -0.469, -1.465, -4.578, 5.615, 117.686, 2.203, 76.157, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.781000,dd:f7:75:f0:61:9c, 0.075, 0.825, -0.469, -1.465, -4.578, 5.615, 117.68, 2.142, 76.097, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.781000,dd:f7:75:f0:61:9c, 0.075, 0.829, -0.467, -0.732, -4.456, 4.517, 117.68, 2.093, 76.042, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.781000,dd:f7:75:f0:61:9c, 0.097, 0.829, -0.467, -0.732, -4.456, 4.517, 117.686, 2.043, 75.987, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.842000,dd:f7:75:f0:61:9c, 0.091, 0.803, -0.451, 0.122, -3.235, 3.601, 117.708, 1.945, 75.91, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.842000,dd:f7:75:f0:61:9c, 0.097, 0.803, -0.451, 0.122, -3.235, 3.601, 117.697, 1.994, 75.948, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.850000,dd:f7:75:f0:61:9c, 0.091, 0.81, -0.451, 3.113, -1.953, 1.16, 117.746, 1.912, 75.894, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.903000,dd:f7:75:f0:61:9c, 0.098, 0.81, -0.451, 3.113, -1.953, 1.16, 117.79, 1.873, 75.877, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.903000,dd:f7:75:f0:61:9c, 0.098, 0.817, -0.458, 3.662, -1.282, -2.869, 117.834, 1.868, 75.883, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.903000,dd:f7:75:f0:61:9c, 0.108, 0.817, -0.458, 3.662, -1.282, -2.869, 117.883, 1.862, 75.888, 43.800, -37.787, 12.680, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.931000,dd:f7:75:f0:61:9c, 0.108, 0.834, -0.477, 6.104, 0.305, -6.775, 117.955, 1.884, 75.932, 41.633, -39.347, 10.660, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.931000,dd:f7:75:f0:61:9c, 0.105, 0.834, -0.477, 6.104, 0.305, -6.775, 118.026, 1.906, 75.976, 41.633, -39.347, 10.660, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.931000,dd:f7:75:f0:61:9c, 0.105, 0.858, -0.501, 7.446, 3.052, -10.071, 118.114, 1.939, 76.064, 41.633, -39.347, 10.660, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.991000,dd:f7:75:f0:61:9c, 0.027, 0.924, -0.592, 15.869, 12.329, -15.503, 119.136, 2.137, 77.481, 41.633, -39.347, 10.660, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.991000,dd:f7:75:f0:61:9c, 0.032, 0.924, -0.592, 15.869, 12.329, -15.503, 118.96, 2.098, 77.294, 41.633, -39.347, 10.660, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:39.991000,dd:f7:75:f0:61:9c, 0.032, 0.858, -0.501, 7.446, 3.052, -10.071, 118.196, 1.972, 76.146, 41.633, -39.347, 10.660, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:40.023000,dd:f7:75:f0:61:9c, 0.027, 1.016, -0.655, 11.475, 14.16, -16.663, 119.268, 2.175, 77.695, 41.633, -39.347, 10.660, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:40.023000,dd:f7:75:f0:61:9c, 0.012, 1.016, -0.655, 11.475, 14.16, -16.663, 119.405, 2.219, 77.904, 41.633, -39.347, 10.660, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:40.023000,dd:f7:75:f0:61:9c, 0.012, 0.937, -0.582, 4.15, 16.846, -17.334, 119.465, 2.252, 78.135, 41.633, -39.347, 10.660, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:40.081000,dd:f7:75:f0:61:9c, -0.062, 0.937, -0.582, 4.15, 16.846, -17.334, 119.526, 2.291, 78.371, 41.633, -39.347, 10.660, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:40.081000,dd:f7:75:f0:61:9c, -0.062, 0.849, -0.438, -13.123, 16.174, -17.639, 119.57, 2.719, 79.991, 41.633, -39.347, 10.660, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:40.081000,dd:f7:75:f0:61:9c, -0.098, 0.849, -0.438, -13.123, 16.174, -17.639, 119.454, 2.78, 80.217, 41.633, -39.347, 10.660, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:40.113000,dd:f7:75:f0:61:9c, -0.098, 0.755, -0.414, -12.695, 15.808, -19.043, 119.344, 2.856, 80.447, 41.633, -39.347, 10.660, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:40.113000,dd:f7:75:f0:61:9c, -0.126, 0.755, -0.414, -12.695, 15.808, -19.043, 119.229, 2.933, 80.678, 41.633, -39.347, 10.660, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:40.113000,dd:f7:75:f0:61:9c, -0.126, 0.777, -0.461, -5.188, 13.489, -22.095, 119.196, 3.054, 80.898, 41.633, -39.347, 10.660, 29.27, 0.41528, 0.65884, 0.54929, 0.3027
2025-06-14 20:59:40.172000,dd:f7:75:f0:61:9c, -0.214, 0.804, -0.482, -0.854, 11.963, -25.146, 119.18, 3.494, 81.562, 41.633, -39.347, 10.660, 29.27, 0.40002, 0.64572, 0.57117, 0.31091
2025-06-14 20:59:40.172000,dd:f7:75:f0:61:9c, -0.165, 0.777, -0.461, -5.188, 13.489, -22.095, 119.163, 3.175, 81.118, 41.633, -39.347, 10.660, 29.27, 0.40002, 0.64572, 0.57117, 0.31091
2025-06-14 20:59:40.172000,dd:f7:75:f0:61:9c, -0.165, 0.804, -0.482, -0.854, 11.963, -25.146, 119.169, 3.334, 81.343, 41.633, -39.347, 10.660, 29.27, 0.40002, 0.64572, 0.57117, 0.31091
2025-06-14 20:59:40.202000,dd:f7:75:f0:61:9c, -0.213, 0.99, -0.547, -0.061, 2.93, -27.283, 119.377, 4.62, 82.513, 41.633, -39.347, 10.660, 29.27, 0.40002, 0.64572, 0.57117, 0.31091
2025-06-14 20:59:40.202000,dd:f7:75:f0:61:9c, -0.213, 1.022, -0.531, -9.705, 3.418, -21.362, 119.344, 4.834, 82.65, 41.633, -39.347, 10.660, 29.27, 0.40002, 0.64572, 0.57117, 0.31091
2025-06-14 20:59:40.202000,dd:f7:75:f0:61:9c, -0.243, 0.865, -0.522, 2.93, 10.559, -28.015, 119.229, 3.691, 81.782, 41.633, -39.347, 10.660, 29.27, 0.40002, 0.64572, 0.57117, 0.31091
2025-06-14 20:59:40.232000,dd:f7:75:f0:61:9c, -0.207, 0.967, -0.493, -19.653, 7.202, -14.465, 118.949, 5.284, 83.024, 41.633, -39.347, 10.660, 29.27, 0.40002, 0.64572, 0.57117, 0.31091
2025-06-14 20:59:40.232000,dd:f7:75:f0:61:9c, -0.204, 0.967, -0.493, -19.653, 7.202, -14.465, 119.13, 5.175, 82.897, 41.633, -39.347, 10.660, 29.27, 0.40002, 0.64572, 0.57117, 0.31091
2025-06-14 20:59:40.232000,dd:f7:75:f0:61:9c, -0.204, 1.022, -0.531, -9.705, 3.418, -21.362, 119.262, 5.021, 82.771, 41.633, -39.347, 10.660, 29.27, 0.40002, 0.64572, 0.57117, 0.31091
2025-06-14 20:59:40.320000,dd:f7:75:f0:61:9c, -0.207, 0.861, -0.453, -24.414, 9.277, -9.033, 118.74, 5.367, 83.145, 41.633, -39.347, 10.660, 29.27, 0.40002, 0.64572, 0.57117, 0.31091
2025-06-14 20:59:40.320000,dd:f7:75:f0:61:9c, -0.194, 0.861, -0.453, -24.414, 9.277, -9.033, 118.51, 5.427, 83.26, 41.633, -39.347, 10.660, 29.27, 0.40002, 0.64572, 0.57117, 0.31091
2025-06-14 20:59:40.320000,dd:f7:75:f0:61:9c, -0.194, 0.786, -0.426, -20.203, 10.193, -5.371, 118.301, 5.466, 83.375, 41.633, -39.347, 10.660, 29.27, 0.40002, 0.64572, 0.57117, 0.31091
2025-06-14 20:59:40.352000,dd:f7:75:f0:61:9c, -0.19, 0.786, -0.426, -20.203, 10.193, -5.371, 118.114, 5.493, 83.48, 41.633, -39.347, 10.660, 29.27, 0.40002, 0.64572, 0.57117, 0.31091
2025-06-14 20:59:40.352000,dd:f7:75:f0:61:9c, -0.19, 0.758, -0.418, -13.672, 10.01, -3.601, 117.96, 5.51, 83.578, 41.633, -39.347, 10.660, 29.27, 0.40002, 0.64572, 0.57117, 0.31091
2025-06-14 20:59:40.352000,dd:f7:75:f0:61:9c, -0.192, 0.758, -0.418, -13.672, 10.01, -3.601, 117.839, 5.521, 83.672, 41.633, -39.347, 10.660, 29.27, 0.40002, 0.64572, 0.57117, 0.31091
2025-06-14 20:59:40.382000,dd:f7:75:f0:61:9c, -0.192, 0.755, -0.417, -8.118, 9.766, -3.296, 117.746, 5.537, 83.76, 41.633, -39.347, 10.660, 29.27, 0.40002, 0.64572, 0.57117, 0.31091
2025-06-14 20:59:40.382000,dd:f7:75:f0:61:9c, -0.204, 0.755, -0.417, -8.118, 9.766, -3.296, 117.686, 5.548, 83.848, 41.633, -39.347, 10.660, 29.27, 0.40002, 0.64572, 0.57117, 0.31091
2025-06-14 20:59:40.382000,dd:f7:75:f0:61:9c, -0.204, 0.76, -0.414, -3.845, 9.033, -3.662, 117.642, 5.565, 83.936, 41.633, -39.347, 10.660, 29.27, 0.40002, 0.64572, 0.57117, 0.31091
2025-06-14 20:59:40.413000,dd:f7:75:f0:61:9c, -0.266, 0.76, -0.414, -3.845, 9.033, -3.662, 117.62, 5.592, 84.018, 41.633, -39.347, 10.660, 29.27, 0.40002, 0.64572, 0.57117, 0.31091
2025-06-14 20:59:40.413000,dd:f7:75:f0:61:9c, -0.259, 0.794, -0.41, -1.587, 4.822, -2.136, 117.592, 5.707, 84.26, 41.633, -39.347, 10.660, 29.27, 0.40002, 0.64572, 0.57117, 0.31091
2025-06-14 20:59:40.413000,dd:f7:75:f0:61:9c, -0.259, 0.784, -0.415, -2.563, 0.854, -0.061, 117.581, 5.746, 84.276, 41.633, -39.347, 10.660, 29.27, 0.40002, 0.64572, 0.57117, 0.31091
